,Covidence #,Study ID,Title,Reviewer Name,Study ID (from Covidence),Paper Title,Authors ,Year Published,Journal (or publication) Title,Literature Type,Basin in which the article is focused?,What is the stated objective and/or purpose of the study/paper?,What is the stated hypothesis or research question of the study/paper?,Is the paper/study more applied (management focused) or more empirical/theoretical/disciplinary-oriented (basic science)?,What is the primary discipline of the study?,What are the methods used in this study (copy/paste)?,What is the data source(s) used in this study? ,Dates that the study took place? (if relevant),Does the paper talk meaningfully about indigenous worldviews?,What type of knowledge does the study/paper use?,"Is the paper meaningfully interdisciplinary between social and natural sciences (methods, discussion, etc.)?","If yes, please describe.",What species are discussed in the paper?,What type of hatchery/cultivation/stocking program does the paper discuss?,"Does the paper state the objective of the cultivation/hatcheries/stocking it discusses, and if so what is it?","If so, state the objective of the cultivation/hatcheries/stocking.",What type of aquatic system does the hatchery/cultivation/stocking effort use?,How many generations are the brood stock held in the hatchery as stated in the paper?,"If known, indicate the discrete number of generations.",At what life stage are fish released?,"If stated, specify age of release?","If released as fry, what stage of feeding at release?","If feed is used in the study, does the paper indicate the type/brand/origin of the feed?","If yes, please state.",Does the paper state any conclusion about the efficacy of the hatchery/stocking/cultivation program?,"If yes, state conclusion here.","Does the paper have a stated definition of ""wild"" salmon as relevant to the hatchery discussion?","If yes, copy-paste definition/description here:",Do the results suggest one or more hatchery and/or stocking standard(s) or practice(s) for conserving salmonids?,"If so, what is it/are they? ",Do the authors identify a gap/gaps in scientific knowledge of hatchery and/or stocking standard(s) or practice(s)?,"If so, what is it/are they? ","Does the paper state a specific management recommendation? If so, what is it?",What is the key message/finding of the paper?,What are the key themes of the paper?,Does the paper meaningfully and/or explicitly discuss its findings in the context of climate change?,Does this paper meaningfully address one of the key research question topics?,Full authors
0.060296763,5746,Bingham 2014,Loss of Genetic Integrity in Hatchery Steelhead Produced by Juvenile-Based Broodstock and Wild Integration: Conflicts in Production and Conservation Goals,Consensus,5746,Loss of Genetic Integrity in Hatchery Steelhead Produced by Juvenile-Based Broodstock and Wild Integration: Conflicts in Production and Conservation Goals,Bingham et al.,2014,North American Journal of Fisheries Management,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,The goal of this study was to evaluate whether broodstock management at the Abernathy Fish Technology Center hatchery maintained wild-type genetic characteristics in hatchery fish used to supplement the steelhead population in Abernathy Creek.,We expected that genetic characteristics of hatchery fish would approximate those of the wild fish if the protocol was effective.,More management/applied,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology); Rearing practices/technology","Hatchery fish were produced for three consecutive years by using broodstock comprised of endemic juveniles that were caught in the wild and raised to maturity, and then the program transitioned to an integrated broodstock comprised of wild and hatchery adults that returned to spawn. 

Specifically, we analyzed 10 microsatellite loci to compare effective sizes, genetic diversity, and genetic divergence among juvenile-based broodstock, wild smolts, and hatchery juveniles across 11 brood years.",Empirical data,1999-2010,No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Harvest/fisheries augmentation; Conservation stocking,Yes,"contained genetic characteristics of the endemic population from Abernathy
Creek and simultaneously meet a production goal of 20,000 smolts annually","Mentions stocking only, system not specified",Paper state that mixed discrete/multiple generations and new brood stock are used,,Smolt,1 year,,No,,Yes,"In short, AFTC produced hatchery fish using juveniles raised in captivity as broodstock for three consecutive years and then transitioned to an adult-only broodstock using wild integration and some auxiliary husbandry efforts. The AFTC met the production goal in 6 of 9 years, which precluded the implementation of several protocols intended to support the conservation goal. 
Loss of genetic integrity in AFTC hatchery fish was seen despite extensive efforts to avoid such problems",Yes,"Hereafter, we use É??wildÉ?ù to refer to any fish spawned under natural conditions, regardless of whether its parents had hatchery ancestry",No,,No,,"Four significant management-based conclusions can be drawn. First, juvenile-based broodstock conjoined with equal-family contribution and pairwise mating did not produce F1 hatchery offspring with wild-type genetics. In contrast, the juvenile-based broodstock itself seemed to reasonably represent the genetics of wild fish. Thus, the mating scheme did not capture the effective size and diversity of the juvenile-based broodstock population or natural reproduction. Second, the number of wild fish used as broodstock had significant positive effects on genetic diversity and effective population sizes of hatchery fish. Prior to implementing husbandry focused on increasing wild
spawners in broodstock, however, managers should weigh the possible impacts of É??broodstock miningÉ?ù and É??RymanÉ??LaikreÉ?ù effects. Third, the literature review conducted in this study highlights that inconsistency in the ability of conservation-based husbandry to mitigate for genetic consequences could partially stem from the diversity of conditions, practices, and goals present in conservation-oriented supplementation programs. We therefore
recommend that critical information regarding gene flow between the hatchery and wild components, and also information on demography (e.g., number of spawners, sex ratios), be presented and considered to allow more conclusive inferences across studies. Finally, the AFTC hatchery management plan was designed to meet production and conservation goals with no real knowledge regarding its ability to obtain sufficient broodstock or to implement conservation-based hatchery protocols. To ensure the benefit of conservation efforts, major logistical issues need to be seriously considered. Foremost, spawning protocols should be based on both realistic expectations for the availability of spawners and on scientific theory. Finally, if conservation issues are determined to be the most important issue for hatchery propagation, then production goals may need to be forfeited.","To ensure the benefit of conservation-based husbandry, spawning protocols should be based on scientific theory and be practical within the physical and biological constraints of the system. Finally, if conservation issues are considered to be the most important issue for hatchery propagation, then production goals may need to be forfeited.","Steelhead, genetic integrity, production goals vs conservation priorities",No,Conserving wild populations,"Bingham, Daniel M.; Kennedy, Benjamen M.; Hanson, Kyle C.; Smith, Christian T."
0.064194044,5271,Quinones 2014,"Hatchery practices may result in replacement of wild salmonids: adult trends in the Klamath basin, California",Consensus,5271,"Hatchery practices may result in replacement of wild
salmonids: adult trends in the Klamath basin, California",Qui?Òones et al.,2013,Environ Biol Fish,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"Our study is designed to establish a baseline for the status of salmonids in the basin in order to evaluate
effectiveness of future restoration and salmon recovery efforts",Hatchery supplementation in the Klamath River basin is leading to a replacement or supplementation of wild salmonid populations by hatchery-origin fish.,Both (study has strong elements of both),"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology); Fish Health","We analyzed time series data for seven salmonid taxa from the Klamath River basin, California, to investigate trajectories of wild and hatchery adult populations. Linear regression coupled with randomized permutations (n=99,999), two- tailed t tests, and Bayesian change point analysis were used to detect trends over time. Cross correlation was also used to evaluate relationships between wild and hatchery populations. The taxa of interest were spring, fall, and late-fall Chinook Salmon (O. tshawytscha); Coho Salmon (O. kisutch);
Coastal Cutthroat Trout (O. clarki clarki); and summer and hybrid Steelhead Trout (O. mykiss",Literature review,1967-2009,No,Western science,No,,Pacific salmon (not subspecies specific),Harvest/fisheries augmentation; Conservation stocking; Restoration stocking,Yes,"Captive breeding of Pacific sal-
monids (Oncorhynchus spp.) can augment commercial fisheries and mitigate loss of salmonid production when fresh water habitats become inaccessible or degraded
(Lichatowich 1999; Brannon et al. 2004)",Not clearly stated/defined,Not stated,,Not stated,,,Feed use not mentioned,,Yes,"We found a general pattern of increasing hatchery returns with simultaneous decreasing wild spawner abundance for most runs (Figs. 2, 3 and 4).",No,,No,,No,,No,"Here, we propose that hatchery supplementation may be facilitating the extirpation of wild populations in parts of the Klamath River basin","hatchery effects, Chinook Salmon,
Coho Salmon ",No,Conserving wild populations; Supporting fisheries,"Quinones, Rebecca M.; Johnson, Michael L.; Moyle, Peter B."
0.067442806,5140,Evans 2015,Transcriptomic Responses of Atlantic Salmon (Salmo salar) to Environmental Enrichment during Juvenile Rearing,Consensus,5140,"
Transcriptomic Responses of Atlantic Salmon
(Salmo salar) to Environmental Enrichment
during Juvenile Rearing",Evans et al.,2015,PLOS ONE,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,"To understand transcriptome-wide variation underlying the differ-
ential development of salmon following exposure to traditional and enriched hatchery environments.","Testing for an influence of environmental enrichment
during embryo through yolk-sac larval incubation on the gene transcription profiles of neural/sensory systems, given that previous studies have documented effects of enrichment on brain morphology and juvenile behavior .",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)",Split-family rearing experiment with subsequent RNA analysis of the different families and treatments they had undergone (enriched or not).,Empirical data,2011,No,Western science,No,,Atlantic Salmon (Salmo salar),Conservation stocking; Restoration stocking; Reintroduction stocking; Mitigation/mandated stocking (offsetting),,,Other: Enriched and traditional freshwater systems,Not stated,Use wild parents and farmed salmon parents. ,Alevin; Fry,"Life stages studied in the experiment, no release in wild. ",,Feed use not mentioned,,Yes,"Our work adds to a growing number of studies that have demonstrated clear impacts, at multiple biological scales, of rearing animals in captive conditions that deviate from those experienced in natural environments. In addition to documenting differences in growth related to rearing environment, we uncovered several candidate genes potentially underlying behavior-
al variation and differences in neurological development. Further studies are now needed to examine whether environmental enrichment influences the performance of salmon throughout the life-cycle [62], and whether such interventions can be harnessed to improve the efficacy of
conservation and restoration efforts involving captive-rearing programs.",No,,,,Yes,"Further studies are now needed to ex-
amine whether environmental enrichment influences the performance of salmon throughout
the life-cycle [62], and whether such interventions can be harnessed to improve the efficacy of
conservation and restoration efforts involving captive-rearing programs.","No, but indicate enrichment might hel reduce hatchery domestication effects ",,Enrichment; plasticity; genetic ,No,Conserving wild populations,"Evans, Melissa L.; Hori, Tiago S.; Rise, Matthew L.; Fleming, Ian A."
0.068483407,5060,Stark 2014,Captive rearing for Chinook salmon (Oncorhynchus tshawytscha) and Atlantic salmon (Salmo salar): the Idaho and Maine experiences,Consensus,5060,Captive rearing for Chinook salmon (Oncorhynchus tshawytscha) and Atlantic salmon (Salmo salar): the Idaho and Maine experiences,Stark et al.,2014,Reviews in Fish Biology and Fisheries,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Both,we review the monitoring and evaluation efforts for two captive rearing programs for salmon,It is unknown whether captive Chinook salmon could be reared their entire lives in captivity and then be released as adults and spawn or whether Atlantic salmon could be spawned in captivity and then released to successfully spawn again. ,More management/applied,"Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","Wild progeny were collected  and reared to adults (Chinook) in a hatchery. after their release, habitat use and spawning behaviour was quantified through surveys and observation, then presence/absence quantified. Post spawn evaluations to determine reproductive success were done through egg sampling.",Empirical data,Unclear (maybe 1994 - 2005?),No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Conservation stocking; Scientific stocking,Yes,"The research program was developed cooperatively with other stakeholders and used an adaptive management approach. The hatchery exists for conservation purposes, but the stocking for this study was done specifically for the study.",Not clearly stated/defined,,,Fry; Adult,Chinook - adults; Atlantic salmon - fy,Unfed fry,No,,Yes,"Captive fish display similar behaviours as their wild conspecifics for habitat selection and spawning, though there are differences in timing. Captive-reared adults are successfully spawning and producing offspring. Genetic analysis of returning adults is not yet completed at time of publication.",No,,No,,Yes,Genetics results of the studies are outstanding,Captive rearing/smolt-to-adult supplementation  may be a viable short term measure to address immediately demographic concerns and aid in the recovery of depressed populations. ,"Captive reared fish do spawn, but less successfully than their wild counterparts. Focus is on adult releases.",smolt-to-adult supplementation; repeat spawning; reproductive success,No,Conserving wild populations,"Stark, Eric J.; Atkinson, Ernest J.; Kozfkay, Christine C."
0.070130457,5442,Hess 2014,Archival genetic analysis suggests recent immigration has altered a population of Chinook salmon in an unsupplemented wilderness area,Consensus,5442,Archival genetic analysis suggests recent immigration has altered a population of Chinook salmon in an unsupplemented wilderness area,Hess et al.,2013,Conservation Genetics,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"Our primary objectives were threefold: (1) determine whether or not significant temporal population heterogeneity is apparent over the span of 28 years for which we were able to obtain samples (1978É??2006), (2) determine if the degree of among watershed differentiation has remained stable through time, and (3) determine the most likely causes of any observed genetic divergence (Table 1).",not stated,More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","We compared archival and contemporary Chinook salmon (Oncorhynchus tshawytscha) collections from the John Day River in Oregon, USA, to evaluate the temporal relationships among four primary spawning areas over a span of 28 years (1978É??2006).",Empirical data,data from 1978-2006,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Purpose not stated,No,,Freshwater (flow-through),Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,No,,No,,No,,,"Based on abundance and effective population
size estimates, we found no evidence indicating a recent bottleneck. Our study demonstrates that low level immigration sustained over multiple generations can alter the genetic composition of natural populations, and while immigration may help maintain genetic population diversity, it risks reducing adaptive advantages in local ecosystems.","genetic monitoring, abundance, effective population size",No,Conserving wild populations,"Hess, Jon E.; Matala, Andrew P."
0.070481225,5081,Naslund 2013,Hatchery tank enrichment affects cortisol levels and shelter-seeking in Atlantic salmon (Salmo salar),Consensus,5081,Hatchery tank enrichment affects cortisol levels and shelter-seeking in Atlantic salmon (Salmon salar),Naslund et al,2013,Canadian Journal of Fisheries and Aquatic Sciences,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,"In this study [they] investigate how adding structure in rearing tanks affects stress levels, aggressive attacks, and shelter-seeking behaviour in underyearling Atlantic salmon.","The speciã™Åc predictions tested were (i) ã™Åsh reared in tanks with artiã™Åcial shelters maintain lower basal levels of plasma cortisol compared with ã™Åsh reared in barren tanks; (ii) ã™Åsh from barren tanks have reduced hormonal response to an acute stressor, as repeated exposure to stressors in the hatchery may cause desensitization or exhaustion of the HPI-axis (Wendelaar Bonga 1997); (iii) structural enrichment reduces aggression as indicated by lower levels of dorsal ã™Ån deterioration (Abbott and Dill 1985); and (iv) juveniles reared in enriched tanks would use shelter to a higher degree than ã™Åsh from barren tanks.",More empirical/basic science,Rearing practices/technology,"REARING CONDITIONS
First generation hatchery-bred juvenile Atlantic salmon originating from the River Imsa stock (58?¯54=N, 5?¯57=E) were held at Ims Research Station (Norwegian Institute for Nature Research), Norway, for 31 weeks (29 September 2010 É?? 2 May 2011) in 1 m [square] tanks under three different rearing conditions (Fig. 1): (i) standard barren hatchery environment versus enrichment via the addition of (ii) plastic tubes (length = 10É??20 cm; diameter = 4 cm) or (iii) shredded black plastic bags (length = 60 cm). Enrichment structures covered approximately half the tank ã™?oor area and were bundled together in each tank to facilitate their removal.

PLASMA CORTISOL
When examining basal levels of cortisol, six ã™Åsh from each replicate tank were netted simultaneously. Any enrichment structures were quickly lifted out of the water while the ã™Åsh were netted. All ã™Åsh were killed immediately after netting by a sharp blow to the head, and blood was sampled within the window of cortisol excretion. Basal (BC) and acute (AC) plasma cortisol concentrations were analysed using linear mixed models with cortisol levels as the dependent variables.

FIN DETERIORATION
Dorsal ã™Ån damage was scored from 1 to 3 for individual PIT-tagged ã™Åsh, with 1 = negligible damage, 2 = less than 50% of ã™Ån area eroded, and 3 = more than 50% of ã™Ån area eroded. Analyses were performed on the change in ã™Ån score (i.e., deterioration) between measurements (29 September 2010; 18 November 2010; and 2 May 2011) using a generalized linear model with a multinomial probability distribution and a cumulative logit link function according to model 1, but with Tank(Treatment) as a ã™Åxed factor to detect tank effects from this speciã™Åc experimental setup.",Empirical data,September 2010 - May 2011,No,Western science,No,,Atlantic Salmon (Salmo salar),Conservation stocking; Scientific stocking,No,,Freshwater (flow-through),Not stated,,Not stated,,,Yes,EWOS no. 505,Yes,"""Fish from barren tanks had on average two to three times higher basal levels of plasma cortisol than fish from the enrichment treatments.""

""During visual inspections, we observed that the fish highly utilized the provided enrichment.""",No,,,"""Our study suggests that in addition to the stress-reducing effects, environmentally enriched rearing environments increases the shelter-seeking behaviour of hatchery salmon after release into a novel environment.""",No,N/A,N/A,""" [...] our main results suggest that environmental enrichment in the form presented here can reduce basal stress levels as indicated by plasma cortisol concentrations and potentially provide hatchery-reared Atlantic salmon with a more advantageous antipredator behaviour in the form of shelter-seeking.""",Environmental enrichment,No,Conserving wild populations,"Naslund, Joacim; Rosengren, Malin; Del Villar, Diego; Gansel, Lars; Norrgard, Johnny R.; Persson, Lo; Winkowski, John James; Kvingedal, Eli"
0.073030561,5605,Null 2013,Post-spawn migrations of hatchery-origin Oncorhynchus mykiss kelts in the Central Valley of California,Consensus,5605,Post-spawn migrations of hatchery-origin Oncorhynchus mykiss kelts in the Central Valley of California,Null et al,2013,Environmental Biology Fish,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,study the post-spawn movement of Oncorhynchus mykiss kelts released from a hatchery,"1) determine the migratory timing, movement patterns, rate of residualism, and rate of iteroparity, and 2) gain insight into both the potential benefits to the brood stock at the Coleman NFH and impacts to wild steelhead and Chinook salmon that could result from releasing O. mykiss kelts",More empirical/basic science,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)",steelhead kelts were given acoustic tags and released from the hatchery where they were spawned and then tracked throughout the watershed,Empirical data,2005-2006,No,Western science,No,,Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Harvest/fisheries augmentation; Conservation stocking; Mitigation/mandated stocking (offsetting),Yes,"principal objectives of this propagation program are to contribute to the Sacramento River sport fishery and
maintain adequate adult escapement to Battle Creek to meet the hatcheryÉ??s brood stock needs","Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Yes," it may be important to include iteroparous individuals in the hatchery brood stock at the Coleman NFH. Allowing for repeat spawning of hatchery fish also results in overlapping of cohorts, which protects against year-class divergence, inbreeding, and loss of genetic diversity.",No,,Yes,"We believe the benefits of releasing
O. mykiss kelts at the Coleman NFH, including increased numbers and size of fish in the recreational fishery and genetic and demographic benefits to the hatchery brood stock outweigh the limited risk to natural populations that would result from predation and competition of the relatively small number of O. mykiss kelts that resided in fresh water.",Yes,Iteroparity rates presented in this study do not account for O. mykiss that did not survive the spawning and handling process at the Coleman NFH,release kelts back to the river,released kelts had a very low rate of residualism,"kelt, iteroparity, age structure, life history diversity",No,Conserving wild populations; Supporting fisheries,"Null, Robert E.; Niemela, Kevin S.; Hamelberg, Scott F."
0.074460994,5047,Stringwell 2014,Maladaptation and phenotypic mismatch in hatchery-reared Atlantic salmon Salmo salar released in the wild,Consensus,5047,Maladaptation and phenotypic mismatch in hatchery-reared Atlantic salmon Salmo salar released in the wild,Stringwell et al.,2014,Journal of Fish Biology,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,,"the expectation was that fish released in the wild and subjected to high mortality and large environmental fluctuations would diverge more over time than those kept under more stable hatchery conditions, which would be affected mostly by phenotypic plasticity. It was also
expected that different river environments might select for different phenotypes.",More empirical/basic science,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology)","Changes in body shape, fluctuating asymmetry (FA) and crypsis were compared among Atlantic
salmon Salmo salar fry kept as controls in captivity and those released and subsequently recaptured in the wild according to a before-after-control-impact (BACI) design.",Empirical data,2014,No,Western science,No,,Atlantic Salmon (Salmo salar),Conservation stocking,Yes,Stocking of hatchery-reared juveniles is a common practice in many salmonid conservation programmes,Not clearly stated/defined,Paper state that mixed discrete/multiple generations and new brood stock are used,,Fry,,Feeding fry,Yes,fed at 2É??0É??3É??5% body mass dayÉ??1,Yes,because hatcheries generate fish that are phenotypically mismatched to the natural environment,No,,No,,No,,No,"significant differences in body shape were also apparent, and survivors had longer heads, thicker caudal peduncles and a more streamlined body shape than hatchery controls as early as 20 days following stocking, most likely as a result of phenotypic plasticity and non-random, selective mortality of maladapted phenotypes. Hatchery-reared fish typically perform poorly in the wild and the results of this study indicate that this may be due to phenotypic mismatch, i.e. because hatcheries generate fish that are phenotypically mismatched to the natural environment",domestication; feralization; hatcheries,No,Conserving wild populations,"Stringwell, R.; Lock, A.; Stutchbury, C. J.; Baggett, E.; Taylor, J.; Gough, P. J.; de Leaniz, C. Garcia"
0.07739353,5446,Losee 2019,"Changing salmon: An analysis of body mass, abundance, survival, and productivity trends across 45 years in Puget Sound",Consensus,5446,"Changing salmon: An analysis of body mass, abundance, survival, and productivity trends across 45 years in Puget Sound",Losee et al,2019,Fish & Fisheries,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"The goal of this work was to 
provide information to improve the management, conservation and 
recovery of Pacific salmon in the Puget Sound region and highlight 
the benefit of a multidecadal, multispecies, multiple metric approach 
in identifying trends in population dynamics that are not demonÉ?ê
strated using a shortÉ?êterm, singleÉ?êspecies approach that is common 
in salmon management.",compare spatial and temporal patterns across species,More management/applied,"Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","compare spatial and temporal patterns in mass, abundance, and productivity",Empirical data,1970-2015,No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha); Silver/Coho (Oncorhynchus kisutch); Pink/Humpy (Oncorhynchus gorbuscha); Chum/Dog/Keta (Oncorhynchus keta); Red/Sockeye (Oncorhynchus nerka); Steelhead/Anadromous Rainbow Trout (Oncorhynchus mykiss),Purpose not stated,Yes,achieve conservation and harvest objectives ,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Irrelevant to study,,No,,Yes,strategic hatchery practices that yield economic benefit,Yes,"need info on anadromous cutthroat trout, info on contribution of resident rainbows to persistence of O mykiss, and info on anadromous fish remaining in Puget Sound rather than migrating to North Pacific","promote diversity of life history strategies, improve and protect freshwater and nearshore habitat, strategic hatchery practices that yield economic benefit",longitudinal studies across species are useful,"life history, species diversity",No,Conserving wild populations; Supporting fisheries,"Losee, James P.; Kendall, Neala W.; Dufault, Aaron"
0.080444623,22804,Rasmussen 2017,Sea trout (Salmo trutta L.) in Denmark,Consensus,22804,Sea Trout (Salmo Trutta L.) in Denmark,Rasmussen et al.,2018,"Brown Tour: Biology, Ecoloy and Management","Peer-reviewed literature (i.e., journal article, thesis, etc.)",Atlantic,Overview of sea trout ecology and mgt in Denmark,Descriptive. Remaining part focus on the stocking part. ,More management/applied,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Management; Other",Review,Literature review,Not relevant,No,Western science,Yes (please describe below),Some references to the social and economic benefits from recreational fishing based on stocked sea trout,Sea trout/Anadromous Brown Trout (Salmo trutta trutta),Harvest/fisheries augmentation; Conservation stocking; Restoration stocking,No,,Irrelevant to study,Not stated,,Alevin; Fry; Parr; Juvenile; Smolt,,,,,No,,No,,No,,No,,No,None,Overview of sea trout ecology and management in Denmark,No,Does not address research topics,"Rasmussen, G.H.; Pedersen, S."
0.08093507,5706,Irvine 2013,Effects of smolt release timing and size on the survival of hatchery-origin coho salmon in the Strait of Georgia,Consensus,5706,Effects of smolt release timing and size on the survival of hatchery-origin coho salmon in the Strait of Georgia,Irvine et al. ,2013,Progress in Oceanography,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"We wished to examine whether hatchery release strategies developed for coho salmon in the 1970s and 1980s were still appropriate, and if not, to recommend changes that might benefit the coho salmon resource. Our primary objective was to evaluate the effects of smolt release size and timing on survival of coho salmon in the Strait of Georgia, and whether these effects changed over the time. We relate our findings to numbers of hatchery origin salmon released into the Strait of Georgia, as well as coho salmon survival and fishery exploitation time series that are independent of smolt size and timing",none,More management/applied,"Biology/ecology (prey/feeding, migrations, interactions/competition, predation, etc.); Management; Rearing practices/technology; Stock analysis (assessment, growth, recruitment, survival, harvest, contributions from wild and hatchery, etc.)","We modeled the effects on survival of ocean entry year, mean smolt size (weight), and release day",Simulation,1976-2006,No,Western science,No,,Silver/Coho (Oncorhynchus kisutch),Purpose not stated,No,,"Mentions stocking only, system not specified",Not stated,,Not stated,,,Feed use not mentioned,,Yes,Our results do not support maintaining the smolt size and release strategies developed in the 1970s. ,Yes,"Overall, Strait of Georgia hatchery and wild coho salmon survivals declined at similar rates, although wild salmon survivals were consistently higher than those of hatchery salmon",Yes,"We therefore encourage hatchery managers to stagger releases
through the natural outmigration period of wild smolts (i.e. late April to early June in southern BC)",Yes," Within the relatively confined waters of the Strait of Georgia, density dependent interactions may reduce growth and survival of coho salmon, and perhaps encourage their movement out of the Strait. To test this, we encourage an experimental application of Strait of Georgia hatcheries to evaluate density-dependent effects.",We recommend: (1) hatchery managers release coho salmon smolts throughout the outmigration period of higher surviving wild coho salmon smolts and (2) an experimental approach using hatcheries to evaluate density-dependent effects on coho salmon growth and survival,Our results indicate that manipulating smolt sizes and/or their release timing will not return survival rates for Strait of Georgia hatchery coho salmon to the high levels common before 1990. The best survivals in recent years were lower than the worst survivals of early years,"release timing, survival, Strait of Georgia",Yes,Does not address research topics,"Irvine, J. R.; O'Neill, M.; Godbout, L.; Schnute, J."
0.081302412,5491,Ford 2015,The Spawning Success of Early Maturing Resident Hatchery Chinook Salmon in a Natural River System,Consensus,5491,The Spawning Success of Early Maturing Resident Hatchery Chinook Salmon in a Natural River System,Ford et al. ,2015,Transactions of the American Fisheries Society,"Peer-reviewed literature (i.e., journal article, thesis, etc.)",Pacific,"An understanding of the consequences of early male maturation for hatchery supplementation programs requires knowledge of the mating success of early maturing males when they spawn in the wild.  In the present study, we used a combination of parentage analysis and grandparentage analysis to (1) estimate the degree to which resident male Chinook Salmon spawn with anadromous females and (2) identify the origin (hatchery or wild) of such resident males.",none,More management/applied,"Genetic/evolutionary ecology (life history strategies, phenotype/genotype; phenology, restoration ecology); Rearing practices/technology",The basic study design (illustrated in Figure 2) involved using parentage analysis of F2 natural-origin fish collected as juveniles to infer the relative spawning success of their F1 parents. The F1 parents potentially consisted of sampled anadromous fish or unsampled resident fish. The latter group included (1) the offspring of earlier naturally spawning fish or (2) hatchery individuals that were released from the captive broodstock program. Grandparentage analysis of the F2 progeny and potential F0 grandparents that spawned naturally was used to distinguish between these two alternatives,Empirical data,1998-2009 (no 2006),No,Western science,No,,King/Chinook (Oncorhynchus tshawytscha),Harvest/fisheries augmentation; Conservation stocking,Yes,"Several hatchery programs release spring-run Chinook Salmon within the Wenatchee River basin, including (1) a supplementation program that uses broodstock collected from the Chiwawa River spawning area and (2) a harvest mitigation program that uses a nonlocal broodstock reared at the Leavenworth National Fish Hatchery and released into Icicle Creek. In addition, a captive broodstock program focused on conserving spring-run Chinook Salmon in the White River was instituted in 1997","Mentions stocking only, system not specified",Not stated,,Smolt,,,Feed use not mentioned,,Irrelevant to study,,Yes,"Therefore, each year, large hatchery programs can unintentionally produce and release thousands of Chinook Salmon juveniles that mature much earlier than is typical of the wild populations from which they originated

(indicating wild or hatchery origin)",No,,Yes,"Spawning by resident males is unlikely to have immediate demographic effects on the population because the number of anadromous males appears to be sufficient for fertilization; however, the spawning contributions could have important genetic effects, such as changes in effective population size. Greater certainty regarding the genetic basis of hatchery-induced early maturity will be necessary to achieve a full understanding of the conservation implications.",Our finding that resident male Chinook Salmon of hatchery origin contribute substantially to the next generation indicates the importance of considering these contributions when evaluating the effects (positive or negative) of a supplementation program," To our knowledge, this is the first study to present evidence of successful reproduction by early maturing resident, hatchery-origin Chinook Salmon in the wild. The conservation implications of this finding are complex and will depend upon the genetic basis of early maturity and its causes in hatchery settings","mini/micro jacks, parentage, hatchery selection",No,Does not address research topics,"Ford, Michael; Pearsons, Todd N.; Murdoch, Andrew"
